geneticSampleID,dnaSampleID,dataQF.x,meanCopyNumber_fungi,copyNumberStandardDeviation_fungi,dataQF.y,meanCopyNumber_bacteria and archaea,copyNumberStandardDeviation_bacteria and archaea,legacy,fb_ratio,f_proportion,siteID,test_fun,test_bac,batchID,nucleicAcidConcentration_bac_arc,nucleicAcidConcentration_fun,nucleicAcidConcentration_bac,nucleicAcidConcentration_arc,meanCqValue_bac_arc,meanCqValue_fun,meanCqValue_bac,meanCqValue_arc,pcrEfficiency_bac_arc,pcrEfficiency_fun,pcrEfficiency_bac,pcrEfficiency_arc,sampleID,compositeSampleID
ABBY_001-M-27.5-34.5-20171020-GEN,ABBY_001-M-27.5-34.5-20171020-GEN-DNA1,NA,57.2,2.6,NA,107773.5,28329.6,FALSE,5.307427150459064e-4,5.304611766407898e-4,ABBY,57.2,107773.5,CF90WLP3,20,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-27.5-34.5-20171020,NA
ABBY_001-M-27.5-34.5-20171020-GEN,ABBY_001-M-27.5-34.5-20171020-GEN-DNA1,NA,57.2,2.6,NA,107773.5,28329.6,FALSE,5.307427150459064e-4,5.304611766407898e-4,ABBY,57.2,107773.5,CF90WLTU,NA,20,NA,NA,NA,17.3,NA,NA,NA,NA,NA,NA,ABBY_001-M-27.5-34.5-20171020,NA
ABBY_001-M-30.5-0-20161005-GEN,ABBY_001-M-30.5-0-20161005-GEN-DNA1,NA,92.2,11.6,NA,108118.1,11777.6,FALSE,8.52771182623446e-4,8.520445835562789e-4,ABBY,92.2,108118.1,CF90WLTU,NA,29,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,ABBY_001-M-30.5-0-20161005,NA
ABBY_001-M-30.5-0-20161005-GEN,ABBY_001-M-30.5-0-20161005-GEN-DNA1,NA,92.2,11.6,NA,108118.1,11777.6,FALSE,8.52771182623446e-4,8.520445835562789e-4,ABBY,92.2,108118.1,CF90WLP3,29,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-30.5-0-20161005,NA
ABBY_001-M-33-21-20170510-GEN,ABBY_001-M-33-21-20170510-GEN-DNA1,NA,73.5,7.8,NA,81557,2029.9,FALSE,9.012101965496524e-4,9.003987480169789e-4,ABBY,73.5,81557,CF90WLP3,26,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-33-21-20170510,NA
ABBY_001-M-33-21-20170510-GEN,ABBY_001-M-33-21-20170510-GEN-DNA1,NA,73.5,7.8,NA,81557,2029.9,FALSE,9.012101965496524e-4,9.003987480169789e-4,ABBY,73.5,81557,CF90WLTU,NA,26,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,ABBY_001-M-33-21-20170510,NA
ABBY_001-M-34-6.5-20171020-GEN,ABBY_001-M-34-6.5-20171020-GEN-DNA1,NA,90.8,4,NA,53227.3,1497.9,FALSE,0.001705891525589312,0.0017029864154949254,ABBY,90.8,53227.3,CF90WLTZ,37,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-34-6.5-20171020,NA
ABBY_001-M-34-6.5-20171020-GEN,ABBY_001-M-34-6.5-20171020-GEN-DNA1,NA,90.8,4,NA,53227.3,1497.9,FALSE,0.001705891525589312,0.0017029864154949254,ABBY,90.8,53227.3,CF90WLP4,NA,37,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,ABBY_001-M-34-6.5-20171020,NA
ABBY_001-M-35-18-20170607-GEN,ABBY_001-M-35-18-20170607-GEN-DNA1,NA,62.8,1.4,NA,69883.5,6657,FALSE,8.986384482746285e-4,8.978316222587898e-4,ABBY,62.8,69883.5,CF90WLTZ,20,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-35-18-20170607,ABBY_001-M-20170607-COMP
ABBY_001-M-35-18-20170607-GEN,ABBY_001-M-35-18-20170607-GEN-DNA1,NA,62.8,1.4,NA,69883.5,6657,FALSE,8.986384482746285e-4,8.978316222587898e-4,ABBY,62.8,69883.5,CF90WLP4,NA,20,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,ABBY_001-M-35-18-20170607,ABBY_001-M-20170607-COMP
ABBY_001-M-5.5-21-20161005-GEN,ABBY_001-M-5.5-21-20161005-GEN-DNA1,NA,32.3,1.9,NA,43597.9,2481.7,FALSE,7.408613717633188e-4,7.403129025308156e-4,ABBY,32.3,43597.9,CF90WLTZ,46,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,ABBY_001-M-5.5-21-20161005,NA
ABBY_001-M-5.5-21-20161005-GEN,ABBY_001-M-5.5-21-20161005-GEN-DNA1,NA,32.3,1.9,NA,43597.9,2481.7,FALSE,7.408613717633188e-4,7.403129025308156e-4,ABBY,32.3,43597.9,CF90WLP4,NA,46,NA,NA,NA,17.3,NA,NA,NA,NA,NA,NA,ABBY_001-M-5.5-21-20161005,NA
ABBY_001-O-34-14-20170510-GEN,ABBY_001-O-34-14-20170510-GEN-DNA1,NA,NA,NA,NA,51980.7,622.4,FALSE,NA,NA,ABBY,NA,51980.7,CF90WLTS,65,NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA,NA,ABBY_001-O-34-14-20170510,NA
ABBY_002-M-35.5-38-20171019-GEN,ABBY_002-M-35.5-38-20171019-GEN-DNA1,NA,26.1,1.7,NA,63031.3,12577.1,FALSE,4.140799888309459e-4,4.139085975634898e-4,ABBY,26.1,63031.3,CF90WLU1,NA,53,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,ABBY_002-M-35.5-38-20171019,NA
ABBY_002-M-35.5-38-20171019-GEN,ABBY_002-M-35.5-38-20171019-GEN-DNA1,NA,26.1,1.7,NA,63031.3,12577.1,FALSE,4.140799888309459e-4,4.139085975634898e-4,ABBY,26.1,63031.3,CF90WLTS,53,NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA,NA,ABBY_002-M-35.5-38-20171019,NA
ABBY_002-M-5-3.5-20171019-GEN,ABBY_002-M-5-3.5-20171019-GEN-DNA1,NA,42,2.8,NA,73951.5,12431.1,FALSE,5.679397983813716e-4,5.676174258549738e-4,ABBY,42,73951.5,CF90WLTV,NA,48,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,ABBY_002-M-5-3.5-20171019,NA
ABBY_002-M-5-3.5-20171019-GEN,ABBY_002-M-5-3.5-20171019-GEN-DNA1,NA,42,2.8,NA,73951.5,12431.1,FALSE,5.679397983813716e-4,5.676174258549738e-4,ABBY,42,73951.5,CF90WLTT,48,NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA,NA,ABBY_002-M-5-3.5-20171019,NA
ABBY_002-M-5.5-30-20170511-GEN,ABBY_002-M-5.5-30-20170511-GEN-DNA1,NA,72.6,10.3,NA,36687.7,6917.5,FALSE,0.001978864851162651,0.0019749566788083883,ABBY,72.6,36687.7,CF90WLU1,NA,41,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,ABBY_002-M-5.5-30-20170511,NA
ABBY_002-M-5.5-30-20170511-GEN,ABBY_002-M-5.5-30-20170511-GEN-DNA1,NA,72.6,10.3,NA,36687.7,6917.5,FALSE,0.001978864851162651,0.0019749566788083883,ABBY,72.6,36687.7,CF90WLTS,41,NA,NA,NA,21.4,NA,NA,NA,NA,NA,NA,NA,ABBY_002-M-5.5-30-20170511,NA
ABBY_002-M-7-0-20170511-GEN,ABBY_002-M-7-0-20170511-GEN-DNA1,NA,30.9,2.4,NA,66953.7,6755.9,FALSE,4.6151295596807946e-4,4.6130006001379427e-4,ABBY,30.9,66953.7,CF90WLTV,NA,64,NA,NA,NA,18.1,NA,NA,NA,NA,NA,NA,ABBY_002-M-7-0-20170511,NA
ABBY_002-M-7-0-20170511-GEN,ABBY_002-M-7-0-20170511-GEN-DNA1,NA,30.9,2.4,NA,66953.7,6755.9,FALSE,4.6151295596807946e-4,4.6130006001379427e-4,ABBY,30.9,66953.7,CF90WLTT,64,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,ABBY_002-M-7-0-20170511,NA
ABBY_002-M-9-31.5-20171019-GEN,ABBY_002-M-9-31.5-20171019-GEN-DNA1,NA,24.8,2.7,NA,59763.3,687,FALSE,4.149703915279109e-4,4.1479826253050354e-4,ABBY,24.8,59763.3,CF90WLTT,60,NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA,NA,ABBY_002-M-9-31.5-20171019,NA
ABBY_002-M-9-31.5-20171019-GEN,ABBY_002-M-9-31.5-20171019-GEN-DNA1,NA,24.8,2.7,NA,59763.3,687,FALSE,4.149703915279109e-4,4.1479826253050354e-4,ABBY,24.8,59763.3,CF90WLTV,NA,60,NA,NA,NA,18.5,NA,NA,NA,NA,NA,NA,ABBY_002-M-9-31.5-20171019,NA
ABBY_002-O-0.5-35.5-20161004-GEN,ABBY_002-O-0.5-35.5-20161004-GEN-DNA1,NA,156,8.6,NA,133578.7,45127.9,FALSE,0.0011678508624503757,0.0011664885777588016,ABBY,156,133578.7,CF90WLP3,23,NA,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,ABBY_002-O-0.5-35.5-20161004,NA
ABBY_002-O-0.5-35.5-20161004-GEN,ABBY_002-O-0.5-35.5-20161004-GEN-DNA1,NA,156,8.6,NA,133578.7,45127.9,FALSE,0.0011678508624503757,0.0011664885777588016,ABBY,156,133578.7,CF90WLTU,NA,23,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,ABBY_002-O-0.5-35.5-20161004,NA
ABBY_002-O-1.5-9-20170605-GEN,ABBY_002-O-1.5-9-20170605-GEN-DNA1,NA,50.4,3.4,NA,32367.1,5902.8,FALSE,0.0015571367221654088,0.0015547158170741112,ABBY,50.4,32367.1,CF90WLP3,18,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,ABBY_002-O-1.5-9-20170605,ABBY_002-O-20170605-COMP
ABBY_002-O-1.5-9-20170605-GEN,ABBY_002-O-1.5-9-20170605-GEN-DNA1,NA,50.4,3.4,NA,32367.1,5902.8,FALSE,0.0015571367221654088,0.0015547158170741112,ABBY,50.4,32367.1,CF90WLTU,NA,18,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,ABBY_002-O-1.5-9-20170605,ABBY_002-O-20170605-COMP
ABBY_002-O-13-4-20161004-GEN,ABBY_002-O-13-4-20161004-GEN-DNA1,NA,95.5,12,NA,59367.3,20295.8,FALSE,0.001608629666499908,0.0016060461330445253,ABBY,95.5,59367.3,CF90WLTU,NA,15,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,ABBY_002-O-13-4-20161004,NA
ABBY_002-O-13-4-20161004-GEN,ABBY_002-O-13-4-20161004-GEN-DNA1,NA,95.5,12,NA,59367.3,20295.8,FALSE,0.001608629666499908,0.0016060461330445253,ABBY,95.5,59367.3,CF90WLP3,15,NA,NA,NA,22.8,NA,NA,NA,NA,NA,NA,NA,ABBY_002-O-13-4-20161004,NA
ABBY_002-O-15-37.5-20170605-GEN,ABBY_002-O-15-37.5-20170605-GEN-DNA1,NA,47.2,5.8,NA,94595.2,6848.3,FALSE,4.989682351747235e-4,4.987193900408274e-4,ABBY,47.2,94595.2,CF90WLTZ,30,NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA,NA,ABBY_002-O-15-37.5-20170605,ABBY_002-O-20170605-COMP
ABBY_002-O-15-37.5-20170605-GEN,ABBY_002-O-15-37.5-20170605-GEN-DNA1,NA,47.2,5.8,NA,94595.2,6848.3,FALSE,4.989682351747235e-4,4.987193900408274e-4,ABBY,47.2,94595.2,CF90WLP4,NA,30,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,ABBY_002-O-15-37.5-20170605,ABBY_002-O-20170605-COMP
ABBY_002-O-21.5-9-20161004-GEN,ABBY_002-O-21.5-9-20161004-GEN-DNA1,NA,259.7,38.3,NA,82605.3,17558.8,FALSE,0.003143866071547467,0.0031340131539250586,ABBY,259.7,82605.3,CF90WLTZ,20,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,ABBY_002-O-21.5-9-20161004,NA
ABBY_002-O-21.5-9-20161004-GEN,ABBY_002-O-21.5-9-20161004-GEN-DNA1,NA,259.7,38.3,NA,82605.3,17558.8,FALSE,0.003143866071547467,0.0031340131539250586,ABBY,259.7,82605.3,CF90WLP4,NA,20,NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,ABBY_002-O-21.5-9-20161004,NA
ABBY_002-O-22.5-3-20170511-GEN,ABBY_002-O-22.5-3-20170511-GEN-DNA1,NA,50.1,1.3,NA,75055.4,1561.4,FALSE,6.675069348774373e-4,6.670616665889981e-4,ABBY,50.1,75055.4,CF90WLTZ,25,NA,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,ABBY_002-O-22.5-3-20170511,NA
ABBY_002-O-22.5-3-20170511-GEN,ABBY_002-O-22.5-3-20170511-GEN-DNA1,NA,50.1,1.3,NA,75055.4,1561.4,FALSE,6.675069348774373e-4,6.670616665889981e-4,ABBY,50.1,75055.4,CF90WLP4,NA,25,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,ABBY_002-O-22.5-3-20170511,NA
ABBY_002-O-28.5-7-20170605-GEN,ABBY_002-O-28.5-7-20170605-GEN-DNA1,NA,NA,NA,NA,76946.1,5664.3,FALSE,NA,NA,ABBY,NA,76946.1,CF90WLTS,61,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA,ABBY_002-O-28.5-7-20170605,ABBY_002-O-20170605-COMP
ABBY_003-M-1-5.5-20170511-GEN,ABBY_003-M-1-5.5-20170511-GEN-DNA1,NA,67.7,3.5,NA,46968,30324,FALSE,0.0014414069153466191,0.0014393322518852702,ABBY,67.7,46968,CF90WLTT,46,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,ABBY_003-M-1-5.5-20170511,NA
ABBY_003-M-1-5.5-20170511-GEN,ABBY_003-M-1-5.5-20170511-GEN-DNA1,NA,67.7,3.5,NA,46968,30324,FALSE,0.0014414069153466191,0.0014393322518852702,ABBY,67.7,46968,CF90WLTV,NA,46,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,ABBY_003-M-1-5.5-20170511,NA
ABBY_003-M-11.5-4.5-20171018-GEN,ABBY_003-M-11.5-4.5-20171018-GEN-DNA1,NA,43,0.6,NA,64927.4,5697.2,FALSE,6.622781753158143e-4,6.618398532254688e-4,ABBY,43,64927.4,CF90WLU1,NA,37,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,ABBY_003-M-11.5-4.5-20171018,NA
ABBY_003-M-11.5-4.5-20171018-GEN,ABBY_003-M-11.5-4.5-20171018-GEN-DNA1,NA,43,0.6,NA,64927.4,5697.2,FALSE,6.622781753158143e-4,6.618398532254688e-4,ABBY,43,64927.4,CF90WLTS,37,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,ABBY_003-M-11.5-4.5-20171018,NA
ABBY_003-M-13.5-36.5-20161005-GEN,ABBY_003-M-13.5-36.5-20161005-GEN-DNA1,NA,38.5,1.1,NA,62201.8,16238.2,FALSE,6.189531492657768e-4,6.185702832409226e-4,ABBY,38.5,62201.8,CF90WLTS,55,NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA,NA,ABBY_003-M-13.5-36.5-20161005,NA
ABBY_003-M-13.5-36.5-20161005-GEN,ABBY_003-M-13.5-36.5-20161005-GEN-DNA1,NA,38.5,1.1,NA,62201.8,16238.2,FALSE,6.189531492657768e-4,6.185702832409226e-4,ABBY,38.5,62201.8,CF90WLU1,NA,55,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,ABBY_003-M-13.5-36.5-20161005,NA
ABBY_003-M-13.5-5.5-20161005-GEN,ABBY_003-M-13.5-5.5-20161005-GEN-DNA1,NA,62.7,2.2,NA,67188,3269.9,FALSE,9.332023575638508e-4,9.323323028607881e-4,ABBY,62.7,67188,CF90WLTV,NA,35,NA,NA,NA,17.9,NA,NA,NA,NA,NA,NA,ABBY_003-M-13.5-5.5-20161005,NA
ABBY_003-M-13.5-5.5-20161005-GEN,ABBY_003-M-13.5-5.5-20161005-GEN-DNA1,NA,62.7,2.2,NA,67188,3269.9,FALSE,9.332023575638508e-4,9.323323028607881e-4,ABBY,62.7,67188,CF90WLTT,35,NA,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,ABBY_003-M-13.5-5.5-20161005,NA
ABBY_003-M-26-2-20170607-GEN,ABBY_003-M-26-2-20170607-GEN-DNA1,NA,59.5,7.8,NA,92798,23428.4,FALSE,6.411776115864567e-4,6.407667662816682e-4,ABBY,59.5,92798,CF90WLTU,NA,33,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,ABBY_003-M-26-2-20170607,ABBY_003-M-20170607-COMP
ABBY_003-M-26-2-20170607-GEN,ABBY_003-M-26-2-20170607-GEN-DNA1,NA,59.5,7.8,NA,92798,23428.4,FALSE,6.411776115864567e-4,6.407667662816682e-4,ABBY,59.5,92798,CF90WLP3,33,NA,NA,NA,20.6,NA,NA,NA,NA,NA,NA,NA,ABBY_003-M-26-2-20170607,ABBY_003-M-20170607-COMP
ABBY_003-M-26-38-20170607-GEN,ABBY_003-M-26-38-20170607-GEN-DNA1,NA,45.3,4.6,NA,79704.1,16704.3,FALSE,5.683521926726479e-4,5.680293519449675e-4,ABBY,45.3,79704.1,CF90WLTU,NA,31,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,ABBY_003-M-26-38-20170607,ABBY_003-M-20170607-COMP
ABBY_003-M-26-38-20170607-GEN,ABBY_003-M-26-38-20170607-GEN-DNA1,NA,45.3,4.6,NA,79704.1,16704.3,FALSE,5.683521926726479e-4,5.680293519449675e-4,ABBY,45.3,79704.1,CF90WLP3,31,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,ABBY_003-M-26-38-20170607,ABBY_003-M-20170607-COMP
ABBY_003-M-26.5-39.5-20170511-GEN,ABBY_003-M-26.5-39.5-20170511-GEN-DNA1,NA,85.2,10.7,NA,57889.4,6288.2,FALSE,0.0014717720342584308,0.0014696091046768759,ABBY,85.2,57889.4,CF90WLTT,32,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,ABBY_003-M-26.5-39.5-20170511,NA
ABBY_003-M-26.5-39.5-20170511-GEN,ABBY_003-M-26.5-39.5-20170511-GEN-DNA1,NA,85.2,10.7,NA,57889.4,6288.2,FALSE,0.0014717720342584308,0.0014696091046768759,ABBY,85.2,57889.4,CF90WLTV,NA,32,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,ABBY_003-M-26.5-39.5-20170511,NA
ABBY_003-M-35.5-26-20161005-GEN,ABBY_003-M-35.5-26-20161005-GEN-DNA1,NA,57.4,18.7,NA,57971.2,3229.8,FALSE,9.901468315301391e-4,9.891674105527274e-4,ABBY,57.4,57971.2,CF90WLP3,51,NA,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,ABBY_003-M-35.5-26-20161005,NA
ABBY_003-M-35.5-26-20161005-GEN,ABBY_003-M-35.5-26-20161005-GEN-DNA1,NA,57.4,18.7,NA,57971.2,3229.8,FALSE,9.901468315301391e-4,9.891674105527274e-4,ABBY,57.4,57971.2,CF90WLTU,NA,51,NA,NA,NA,15.8,NA,NA,NA,NA,NA,NA,ABBY_003-M-35.5-26-20161005,NA
ABBY_003-M-39-26.5-20171018-GEN,ABBY_003-M-39-26.5-20171018-GEN-DNA1,NA,46.4,1.6,NA,55152.4,4044.3,FALSE,8.413051834552984e-4,8.405979840141451e-4,ABBY,46.4,55152.4,CF90WLP4,NA,43,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,ABBY_003-M-39-26.5-20171018,NA
ABBY_003-M-39-26.5-20171018-GEN,ABBY_003-M-39-26.5-20171018-GEN-DNA1,NA,46.4,1.6,NA,55152.4,4044.3,FALSE,8.413051834552984e-4,8.405979840141451e-4,ABBY,46.4,55152.4,CF90WLTZ,43,NA,NA,NA,20.3,NA,NA,NA,NA,NA,NA,NA,ABBY_003-M-39-26.5-20171018,NA
ABBY_003-M-6.5-37.5-20170511-GEN,ABBY_003-M-6.5-37.5-20170511-GEN-DNA1,NA,58.6,2.8,NA,53619.7,11621.8,FALSE,0.0010928819072094772,0.0010916888202495236,ABBY,58.6,53619.7,CF90WLTZ,41,NA,NA,NA,20.4,NA,NA,NA,NA,NA,NA,NA,ABBY_003-M-6.5-37.5-20170511,NA
ABBY_003-M-6.5-37.5-20170511-GEN,ABBY_003-M-6.5-37.5-20170511-GEN-DNA1,NA,58.6,2.8,NA,53619.7,11621.8,FALSE,0.0010928819072094772,0.0010916888202495236,ABBY,58.6,53619.7,CF90WLP4,NA,41,NA,NA,NA,16.5,NA,NA,NA,NA,NA,NA,ABBY_003-M-6.5-37.5-20170511,NA
ABBY_003-O-14.5-32.5-20170607-GEN,ABBY_003-O-14.5-32.5-20170607-GEN-DNA1,NA,60.5,8.5,NA,76672.2,11008.2,FALSE,7.890734842615707e-4,7.884513382169532e-4,ABBY,60.5,76672.2,CF90WLTZ,25,NA,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,ABBY_003-O-14.5-32.5-20170607,ABBY_003-O-20170607-COMP
ABBY_003-O-14.5-32.5-20170607-GEN,ABBY_003-O-14.5-32.5-20170607-GEN-DNA1,NA,60.5,8.5,NA,76672.2,11008.2,FALSE,7.890734842615707e-4,7.884513382169532e-4,ABBY,60.5,76672.2,CF90WLP4,NA,25,NA,NA,NA,17.3,NA,NA,NA,NA,NA,NA,ABBY_003-O-14.5-32.5-20170607,ABBY_003-O-20170607-COMP
ABBY_003-O-32.5-7-20171018-GEN,ABBY_003-O-32.5-7-20171018-GEN-DNA1,NA,97.8,14,NA,134049.4,14420.9,FALSE,7.295817810448983e-4,7.290498795353165e-4,ABBY,97.8,134049.4,CF90WLU1,NA,36,NA,NA,NA,16.1,NA,NA,NA,NA,NA,NA,ABBY_003-O-32.5-7-20171018,NA
ABBY_003-O-32.5-7-20171018-GEN,ABBY_003-O-32.5-7-20171018-GEN-DNA1,NA,97.8,14,NA,134049.4,14420.9,FALSE,7.295817810448983e-4,7.290498795353165e-4,ABBY,97.8,134049.4,CF90WLTS,36,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA,ABBY_003-O-32.5-7-20171018,NA
ABBY_004-M-0.5-8-20170605-GEN,ABBY_004-M-0.5-8-20170605-GEN-DNA1,NA,50.8,7.5,NA,82175.2,14525.3,FALSE,6.181913764736806e-4,6.178094519981515e-4,ABBY,50.8,82175.2,CF90WLU1,NA,47,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,ABBY_004-M-0.5-8-20170605,ABBY_004-M-20170605-COMP
ABBY_004-M-0.5-8-20170605-GEN,ABBY_004-M-0.5-8-20170605-GEN-DNA1,NA,50.8,7.5,NA,82175.2,14525.3,FALSE,6.181913764736806e-4,6.178094519981515e-4,ABBY,50.8,82175.2,CF90WLTS,47,NA,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,ABBY_004-M-0.5-8-20170605,ABBY_004-M-20170605-COMP
