ncbi_species_taxid	accession	ncbi_organism_name	kingdom	phylum	species	fasta_file_path	ncbi_taxonomy	source	is_published
34	GCA_900106535.1	Myxococcus xanthus		Myxococcota	Myxococcus xanthus	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_900106535.1/GCA_900106535.1_IMG-taxon_2693429903_annotated_assembly_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	JGI GOLD	Unrestricted
43	GCA_002305875.1	Cystobacter fuscus		Myxococcota	Cystobacter fuscus	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_002305875.1_ASM230587v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Archangiaceae;g__Cystobacter;s__Cystobacter fuscus	JGI GOLD	NA
48	GCA_001027285.1	Archangium gephyra		Myxococcota	Archangium gephyra	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_001027285.1_ASM102728v1_genomic.fna.gz	k__;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Archangiaceae;g__Archangium;s__Archangium gephyra	JGI GOLD	NA
54	GCA_002343915.1	Nannocystis exedens		Myxococcota	Nannocystis exedens	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_002343915.1_ASM234391v1_genomic.fna.gz	k__;p__Myxococcota;c__;o__Nannocystales;f__Nannocystaceae;g__Nannocystis;s__Nannocystis exedens	JGI GOLD	NA
56	GCA_004135735.1	Sorangium cellulosum		Myxococcota	Sorangium cellulosum	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_004135735.1/GCA_004135735.1_ASM413573v1_genomic.fna.gz	k__;p__Myxococcota;c__;o__Polyangiales;f__Polyangiaceae;g__Sorangium;s__Sorangium cellulosum	JGI GOLD	NA
56	GCA_004135755.1	Sorangium cellulosum		Myxococcota	Sorangium cellulosum	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_004135755.1/GCA_004135755.1_ASM413575v1_genomic.fna.gz	k__;p__Myxococcota;c__;o__Polyangiales;f__Polyangiaceae;g__Sorangium;s__Sorangium cellulosum	JGI GOLD	NA
63	GCA_002222655.1	Vitreoscilla filiformis		Pseudomonadota	Vitreoscilla filiformis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_002222655.1/GCA_002222655.1_ASM222265v1_genomic.fna.gz	k__;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Vitreoscilla;s__Vitreoscilla filiformis	JGI GOLD	NA
69	GCA_900106525.1	Lysobacter enzymogenes		Pseudomonadota	Lysobacter enzymogenes	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_900106525.1/GCA_900106525.1_IMG-taxon_2675903697_annotated_assembly_genomic.fna.gz	k__;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter enzymogenes	JGI GOLD	Unrestricted
124	GCA_002967715.1	Blastopirellula marina		Planctomycetota	Blastopirellula marina	/projectnb/microbiome/dgolden/Struo2/data/JGI_genomes/GCA_002967715.1_ASM296771v1_genomic.fna.gz	k__;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__Blastopirellula marina	JGI GOLD	NA
124	GCA_002967765.1	Blastopirellula marina		Planctomycetota	Blastopirellula marina	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_002967765.1/GCA_002967765.1_ASM296776v1_genomic.fna.gz	k__;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Blastopirellula;s__Blastopirellula marina	JGI GOLD	NA
192	GCA_022023855.1	Azospirillum brasilense		Pseudomonadota	Azospirillum brasilense	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_022023855.1/GCA_022023855.1_ASM2202385v1_genomic.fna.gz	k__;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum brasilense	JGI GOLD	NA
195	GCA_001487185.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487185.1/GCA_001487185.1_CCN178_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001487225.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487225.1/GCA_001487225.1_CCN153_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001487265.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487265.1/GCA_001487265.1_p604B_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001487285.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487285.1/GCA_001487285.1_EC3298_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001487345.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487345.1/GCA_001487345.1_EC3444_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001487405.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487405.1/GCA_001487405.1_EC3357_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001487615.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487615.1/GCA_001487615.1_EC3505_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001487715.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487715.1/GCA_001487715.1_p568C_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001487735.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487735.1/GCA_001487735.1_CCN26_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001487835.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487835.1/GCA_001487835.1_CCN181_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001487855.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001487855.1/GCA_001487855.1_EC3879_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001488055.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001488055.1/GCA_001488055.1_p495D_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001488135.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001488135.1/GCA_001488135.1_EC3501_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001488155.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001488155.1/GCA_001488155.1_EC3693_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001488195.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001488195.1/GCA_001488195.1_p546B_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001488455.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001488455.1/GCA_001488455.1_EC4835_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001488515.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001488515.1/GCA_001488515.1_EC3615_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001488535.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001488535.1/GCA_001488535.1_EC5259_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001488555.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001488555.1/GCA_001488555.1_EC4473_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001488835.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001488835.1/GCA_001488835.1_EC5850_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001488955.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001488955.1/GCA_001488955.1_EC4593_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001489055.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001489055.1/GCA_001489055.1_p568A_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001489115.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001489115.1/GCA_001489115.1_CCN265_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001489155.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001489155.1/GCA_001489155.1_p515A_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001489455.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001489455.1/GCA_001489455.1_EC4910_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001489495.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001489495.1/GCA_001489495.1_p604D_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001489535.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001489535.1/GCA_001489535.1_CCN123_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001489615.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001489615.1/GCA_001489615.1_EC3940_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001489635.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001489635.1/GCA_001489635.1_p474A_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001489675.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001489675.1/GCA_001489675.1_EC3146_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001489915.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001489915.1/GCA_001489915.1_BRIS1041X_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001490155.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001490155.1/GCA_001490155.1_CCN120_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001490195.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001490195.1/GCA_001490195.1_EC3511_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001490215.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001490215.1/GCA_001490215.1_EC3575_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001490335.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001490335.1/GCA_001490335.1_EC3952_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001490435.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001490435.1/GCA_001490435.1_P635B_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001490715.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001490715.1/GCA_001490715.1_p494A_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001490775.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001490775.1/GCA_001490775.1_CCN19_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001491155.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001491155.1/GCA_001491155.1_CCN182_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001491355.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001491355.1/GCA_001491355.1_p546D_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001491475.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001491475.1/GCA_001491475.1_CCN154_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001491695.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001491695.1/GCA_001491695.1_CCN71_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001491975.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001491975.1/GCA_001491975.1_p515B_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001492035.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001492035.1/GCA_001492035.1_EC3756_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001492175.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001492175.1/GCA_001492175.1_CCN177_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001492335.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001492335.1/GCA_001492335.1_p604A_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001492355.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001492355.1/GCA_001492355.1_p494C_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
195	GCA_001492515.1	Campylobacter coli		Campylobacterota	Campylobacter coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/genbank/bacteria/GCA_001492515.1/GCA_001492515.1_EC4709_genomic.fna.gz	k__;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli	JGI GOLD	NA
