ncbi_species_taxid	accession	ncbi_organism_name	kingdom	phylum	species	fasta_file_path	ncbi_taxonomy	source	is_published
63737	GCA_000020025.1	Nostoc punctiforme PCC 73102	Bacteria	Cyanobacteriota	Nostoc punctiforme	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000020025.1_ASM2002v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc punctiforme	JGI GOLD - RefSoil	Unrestricted
65393	GCA_000021825.1	Gloeothece citriformis PCC 7424	Bacteria	Cyanobacteriota	Gloeothece citriformis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000021825.1_ASM2182v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece citriformis	JGI GOLD - RefSoil	Unrestricted
69328	GCA_000494915.1	Pseudomonas sp. VLB120	Bacteria	Pseudomonadota	Pseudomonas sp. VLB120	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000494915.1_ASM49491v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas sp. VLB120	JGI GOLD - RefSoil	NA
76869	GCA_000019125.1	Pseudomonas putida GB-1	Bacteria	Pseudomonadota	Pseudomonas putida	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000019125.1_ASM1912v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida	JGI GOLD - RefSoil	Unrestricted
78245	GCA_000017645.1	Xanthobacter autotrophicus Py2	Bacteria	Pseudomonadota	Xanthobacter autotrophicus	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000017645.1_ASM1764v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus	JGI GOLD - RefSoil	Unrestricted
82654	GCA_000317065.1	Pseudanabaena sp. PCC 7367	Bacteria	Cyanobacteriota	Pseudanabaena sp. PCC 7367	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000317065.1_ASM31706v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Pseudanabaena;s__Pseudanabaena sp. PCC 7367	JGI GOLD - RefSoil	Unrestricted
83332	GCA_000667805.1	Mycobacterium tuberculosis H37Rv	Bacteria	Actinomycetota	Mycobacterium tuberculosis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000667805.1_Myco_tube_H37Rv_V2_genomic.fna.gz	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis	JGI GOLD - RefSoil	NA
86416	GCA_000389635.1	Clostridium pasteurianum BC1	Bacteria	Bacillota	Clostridium pasteurianum	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000389635.1_ASM38963v1_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium pasteurianum	JGI GOLD - RefSoil	Unrestricted
91891	GCA_000306845.1	Legionella pneumophila subsp. pneumophila	Bacteria	Pseudomonadota	Legionella pneumophila	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000306845.1_ASM30684v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila	JGI GOLD - RefSoil	NA
96561	GCA_000018405.1	Desulfosudis oleivorans Hxd3	Bacteria	Thermodesulfobacteriota	Desulfosudis oleivorans	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000018405.1_ASM1840v1_genomic.fna.gz	k__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosudaceae;g__Desulfosudis;s__Desulfosudis oleivorans	JGI GOLD - RefSoil	Unrestricted
103690	GCA_014696735.1	Nostoc sp. PCC 7120 = FACHB-418	Bacteria	Cyanobacteriota	Nostoc sp. PCC 7120 = FACHB-418	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_014696735.1_ASM1469673v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc sp. PCC 7120 = FACHB-418	JGI GOLD - RefSoil	NA
106370	GCA_000013345.1	Frankia casuarinae	Bacteria	Actinomycetota	Frankia casuarinae	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000013345.1_ASM1334v1_genomic.fna.gz	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Frankiales;f__Frankiaceae;g__Frankia;s__Frankia casuarinae	JGI GOLD - RefSoil	Unrestricted
111780	GCA_000317575.1	Stanieria cyanosphaera PCC 7437	Bacteria	Cyanobacteriota	Stanieria cyanosphaera	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000317575.1_ASM31757v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pleurocapsales;f__Dermocarpellaceae;g__Stanieria;s__Stanieria cyanosphaera	JGI GOLD - RefSoil	Unrestricted
111781	GCA_000316605.1	[Leptolyngbya] sp. PCC 7376	Bacteria	Cyanobacteriota	[Leptolyngbya] sp. PCC 7376	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000316605.1_ASM31660v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__Geminocystaceae;g__Picosynechococcus;s__[Leptolyngbya] sp. PCC 7376	JGI GOLD - RefSoil	Unrestricted
118163	GCA_000317025.1	Pleurocapsa sp. PCC 7327	Bacteria	Cyanobacteriota	Pleurocapsa sp. PCC 7327	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000317025.1_ASM31702v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pleurocapsales;f__Hyellaceae;g__Pleurocapsa;s__Pleurocapsa sp. PCC 7327	JGI GOLD - RefSoil	Unrestricted
134676	GCA_000237145.1	Actinoplanes sp. SE50/110	Bacteria	Actinomycetota	Actinoplanes sp. SE50/110	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000237145.1_ASM23714v1_genomic.fna.gz	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes sp. SE50/110	JGI GOLD - RefSoil	NA
137722	GCA_000010725.1	Azospirillum sp. B510	Bacteria	Pseudomonadota	Azospirillum sp. B510	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000010725.1_ASM1072v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum sp. B510	JGI GOLD - RefSoil	NA
155864	GCA_000732965.1	Escherichia coli O157:H7 str. EDL933	Bacteria	Pseudomonadota	Escherichia coli	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000732965.1_ASM73296v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	JGI GOLD - RefSoil	NA
155920	GCA_000698805.1	Xylella fastidiosa subsp. sandyi Ann-1	Bacteria	Pseudomonadota	Xylella fastidiosa	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000698805.1_ASM69880v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xylella;s__Xylella fastidiosa	JGI GOLD - RefSoil	NA
164330	GCA_000021765.1	Thauera aminoaromatica	Bacteria	Pseudomonadota	Thauera aminoaromatica	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000021765.1_ASM2176v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Thauera;s__Thauera aminoaromatica	JGI GOLD - RefSoil	Unrestricted
169679	GCA_014230585.1	Clostridium saccharobutylicum	Bacteria	Bacillota	Clostridium saccharobutylicum	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_014230585.1_ASM1423058v1_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium saccharobutylicum	JGI GOLD - RefSoil	NA
176299	GCA_007679845.1	Agrobacterium fabrum str. C58	Bacteria	Pseudomonadota	Agrobacterium fabrum	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_007679845.1_ASM767984v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium fabrum	JGI GOLD - RefSoil	NA
187303	GCA_000304315.1	Methylocystis sp. SC2	Bacteria	Pseudomonadota	Methylocystis sp. SC2	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000304315.1_Msp_SC2_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae;g__Methylocystis;s__Methylocystis sp. SC2	JGI GOLD - RefSoil	NA
190485	GCA_000007145.1	Xanthomonas campestris pv. campestris str. ATCC 33913	Bacteria	Pseudomonadota	Xanthomonas campestris	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000007145.1_ASM714v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas campestris	JGI GOLD - RefSoil	NA
195253	GCA_000316685.1	Synechococcus sp. PCC 6312	Bacteria	Cyanobacteriota	Synechococcus sp. PCC 6312	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000316685.1_ASM31668v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. PCC 6312	JGI GOLD - RefSoil	Unrestricted
198628	GCA_000147055.1	Dickeya dadantii 3937	Bacteria	Pseudomonadota	Dickeya dadantii	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000147055.1_ASM14705v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya dadantii	JGI GOLD - RefSoil	NA
203119	GCA_000015865.1	Acetivibrio thermocellus ATCC 27405	Bacteria	Bacillota	Acetivibrio thermocellus	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000015865.1_ASM1586v1_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acetivibrio;s__Acetivibrio thermocellus	JGI GOLD - RefSoil	Unrestricted
207559	GCA_000012665.1	Oleidesulfovibrio alaskensis G20	Bacteria	Thermodesulfobacteriota	Oleidesulfovibrio alaskensis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000012665.1_ASM1266v1_genomic.fna.gz	k__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Oleidesulfovibrio;s__Oleidesulfovibrio alaskensis	JGI GOLD - RefSoil	Unrestricted
208964	GCA_000414275.1	Pseudomonas aeruginosa PAO1	Bacteria	Pseudomonadota	Pseudomonas aeruginosa	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000414275.1_Wild_Type_454AllContigs_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	JGI GOLD - RefSoil	NA
209261	GCA_901457615.1	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	Bacteria	Pseudomonadota	Salmonella enterica	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_901457615.1_ERS3381924_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	JGI GOLD - RefSoil	NA
214473	GCA_900458865.1	Staphylococcus nepalensis	Bacteria	Bacillota	Staphylococcus nepalensis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_900458865.1_41556_E01_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis	JGI GOLD - RefSoil	NA
215689	GCA_000165815.1	Erwinia sp. Ejp617	Bacteria	Pseudomonadota	Erwinia sp. Ejp617	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000165815.1_ASM16581v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia sp. Ejp617	JGI GOLD - RefSoil	NA
222523	GCA_002952795.1	Bacillus cereus ATCC 10987	Bacteria	Bacillota	Bacillus cereus	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_002952795.1_ASM295279v1_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus	JGI GOLD - RefSoil	NA
224911	GCA_001642675.1	Bradyrhizobium diazoefficiens USDA 110	Bacteria	Pseudomonadota	Bradyrhizobium diazoefficiens	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_001642675.1_ASM164267v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium diazoefficiens	JGI GOLD - RefSoil	NA
226186	GCA_900624795.1	Bacteroides thetaiotaomicron VPI-5482	Bacteria	Bacteroidota	Bacteroides thetaiotaomicron	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_900624795.1_81H8_genomic.fna.gz	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	JGI GOLD - RefSoil	NA
227377	GCA_000820825.1	Coxiella burnetii RSA 493	Bacteria	Pseudomonadota	Coxiella burnetii	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000820825.1_Coxiella_burnetii_Dog_Utad_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Coxiella;s__Coxiella burnetii	JGI GOLD - RefSoil	NA
228410	GCA_000009145.1	Nitrosomonas europaea ATCC 19718	Bacteria	Pseudomonadota	Nitrosomonas europaea	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000009145.1_ASM914v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	JGI GOLD - RefSoil	Unrestricted
240292	GCA_000204075.1	Trichormus variabilis ATCC 29413	Bacteria	Cyanobacteriota	Trichormus variabilis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000204075.1_ASM20407v1_genomic.fna.gz	k__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Nostocaceae;g__Trichormus;s__Trichormus variabilis	JGI GOLD - RefSoil	Unrestricted
243230	GCA_001638825.1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	Bacteria	Deinococcota	Deinococcus radiodurans	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_001638825.1_ASM163882v1_genomic.fna.gz	k__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus radiodurans	JGI GOLD - RefSoil	NA
246196	GCA_000283295.1	Mycolicibacterium smegmatis MC2 155	Bacteria	Actinomycetota	Mycolicibacterium smegmatis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000283295.1_ASM28329v1_genomic.fna.gz	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis	JGI GOLD - RefSoil	NA
260799	GCA_000008165.1	Bacillus anthracis str. Sterne	Bacteria	Bacillota	Bacillus anthracis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000008165.1_ASM816v1_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis	JGI GOLD - RefSoil	Unrestricted
261591	GCA_000742895.1	Bacillus anthracis str. Vollum	Bacteria	Bacillota	Bacillus anthracis	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000742895.1_ASM74289v1_genomic.fna.gz	k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis	JGI GOLD - RefSoil	NA
265072	GCA_000013705.1	Methylobacillus flagellatus KT	Bacteria	Pseudomonadota	Methylobacillus flagellatus	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000013705.1_ASM1370v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae;g__Methylobacillus;s__Methylobacillus flagellatus	JGI GOLD - RefSoil	Unrestricted
266117	GCA_000014185.1	Rubrobacter xylanophilus DSM 9941	Bacteria	Actinomycetota	Rubrobacter xylanophilus	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000014185.1_ASM1418v1_genomic.fna.gz	k__Bacteria;p__Actinomycetota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__Rubrobacter xylanophilus	JGI GOLD - RefSoil	Unrestricted
266264	GCA_000196015.1	Cupriavidus metallidurans CH34	Bacteria	Pseudomonadota	Cupriavidus metallidurans	/projectnb/talbot-lab-data/zrwerbin/soil_genome_db/genomes/ncbi_genomes/GCA_000196015.1_ASM19601v1_genomic.fna.gz	k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus metallidurans	JGI GOLD - RefSoil	Unrestricted
