"genomicsSampleID","d15N","organicd13C","nitrogenPercent","organicCPercent","soilTemp","soilMoisture","soilInWaterpH","soilInCaClpH","latitude","longitude","elevation","sampleTiming","nlcdClass"
"BART_003-M-20220607-COMP",5.26666666666667,-27.1333333333333,0.423333333333333,7.13333333333333,11.2333333333333,0.438,4.39,3.98,44.055247,-71.263146,439,"peakGreenness","deciduousForest"
"BART_003-O-20160726-COMP",NA,NA,NA,NA,16.2333333333333,1.339,5.46333333333333,4.3,44.055247,-71.263146,439,"peakGreenness","deciduousForest"
"BART_003-O-20170614-COMP",NA,NA,NA,NA,12.7,0.945333333333333,5.11,4.05666666666667,44.055247,-71.263146,439,"peakGreenness","deciduousForest"
"BART_003-O-20210610-COMP",NA,NA,NA,NA,13.6333333333333,1.75066666666667,4.57,4.03666666666667,44.055247,-71.263146,439,"peakGreenness","deciduousForest"
"BART_003-O-20220607-COMP",-0.6,-29.3,2.245,50.5325,11.15,2.145,5.0925,4.5425,44.055247,-71.263146,439,"peakGreenness","deciduousForest"
"BART_004-M-20220607-COMP",2.975,-26.3,1.415,38.4975,10.55,1.527,3.3675,2.8725,44.041571,-71.28692,526.4,"peakGreenness","mixedForest"
"BART_004-O-20160725-COMP",NA,NA,NA,NA,14.3333333333333,2.61533333333333,4.50666666666667,3.06666666666667,44.041571,-71.28692,526.4,"peakGreenness","mixedForest"
"BART_004-O-20170614-COMP",NA,NA,NA,NA,12,1.52666666666667,4.02666666666667,3.11,44.041571,-71.28692,526.4,"peakGreenness","mixedForest"
"BART_004-O-20210610-COMP",NA,NA,NA,NA,12.4666666666667,1.972,3.70333333333333,3.02,44.041571,-71.28692,526.4,"peakGreenness","mixedForest"
"BART_004-O-20220607-COMP",-1.03333333333333,-27.9,2.37,51.0733333333333,10.5333333333333,1.211,4.43,3.83,44.041571,-71.28692,526.4,"peakGreenness","mixedForest"
"BART_005-M-20220607-COMP",5.13333333333333,-26.8666666666667,0.533333333333333,23.7633333333333,10.3333333333333,1.89333333333333,3.06,2.51,44.054614,-71.282188,306.9,"peakGreenness","mixedForest"
"BART_005-O-20210611-COMP",NA,NA,NA,NA,13.3666666666667,2.67,3.36666666666667,2.76333333333333,44.054614,-71.282188,306.9,"peakGreenness","mixedForest"
"BART_005-O-20220607-COMP",1.26666666666667,-27.8333333333333,1.99333333333333,53.0966666666667,10.3333333333333,2.404,3.48333333333333,2.85,44.054614,-71.282188,306.9,"peakGreenness","mixedForest"
"BART_023-M-20220607-COMP",4.5,-26.1,0.473333333333333,13.2933333333333,9.93333333333333,0.802333333333333,3.37,2.78,44.049319,-71.263643,503,"peakGreenness","evergreenForest"
"BART_023-O-20160726-COMP",NA,NA,NA,NA,14.8,2.08833333333333,4.33666666666667,3.08333333333333,44.049319,-71.263643,503,"peakGreenness","evergreenForest"
"BART_023-O-20170614-COMP",NA,NA,NA,NA,12.6666666666667,1.53533333333333,4.18666666666667,3.22333333333333,44.049319,-71.263643,503,"peakGreenness","evergreenForest"
"BART_023-O-20210610-COMP",NA,NA,NA,NA,13.5,1.85766666666667,3.46666666666667,2.92333333333333,44.049319,-71.263643,503,"peakGreenness","evergreenForest"
"BART_023-O-20220607-COMP",1,-27.2333333333333,2.15333333333333,52.2133333333333,9.93333333333333,1.78666666666667,3.97333333333333,3.22333333333333,44.049319,-71.263643,503,"peakGreenness","evergreenForest"
"BART_024-O-20160726-COMP",NA,NA,NA,NA,15.0333333333333,1.229,4.19333333333333,2.82333333333333,44.052777,-71.263782,434.4,"peakGreenness","evergreenForest"
"BART_024-O-20170614-COMP",NA,NA,NA,NA,12.8,2.00533333333333,3.66333333333333,2.81,44.052777,-71.263782,434.4,"peakGreenness","evergreenForest"
"BART_036-M-20220606-COMP",6.55,-26.9,0.175,4.17,11.875,0.35325,3.985,3.415,44.062082,-71.285878,291,"peakGreenness","deciduousForest"
"BART_036-O-20160727-COMP",NA,NA,NA,NA,17.7,1.28433333333333,4.25333333333333,2.88666666666667,44.062082,-71.285878,291,"peakGreenness","deciduousForest"
"BART_036-O-20170613-COMP",NA,NA,NA,NA,15.1666666666667,1.82266666666667,3.89333333333333,3.03333333333333,44.062082,-71.285878,291,"peakGreenness","deciduousForest"
"BART_036-O-20210609-COMP",NA,NA,NA,NA,16.4,1.14933333333333,3.56,3.04,44.062082,-71.285878,291,"peakGreenness","deciduousForest"
"BART_036-O-20220606-COMP",0.8,-28.3333333333333,1.77666666666667,47.0533333333333,11.8333333333333,2.09733333333333,3.58666666666667,2.91333333333333,44.062082,-71.285878,291,"peakGreenness","deciduousForest"
"BART_040-M-20220606-COMP",4.46666666666667,-27.7333333333333,0.89,24.9,10.2333333333333,1.969,3.80333333333333,3.18,44.06576,-71.29199,260.2,"peakGreenness","deciduousForest"
"BART_040-O-20160727-COMP",NA,NA,NA,NA,17.2333333333333,1.65933333333333,4.42,3.20666666666667,44.06576,-71.29199,260.2,"peakGreenness","deciduousForest"
"BART_040-O-20170613-COMP",NA,NA,NA,NA,13.3333333333333,2.09233333333333,4.59666666666667,3.58333333333333,44.06576,-71.29199,260.2,"peakGreenness","deciduousForest"
"BART_040-O-20210608-COMP",NA,NA,NA,NA,16.0333333333333,1.53833333333333,4.47,3.80666666666667,44.06576,-71.29199,260.2,"peakGreenness","deciduousForest"
"BART_040-O-20220606-COMP",-0.566666666666667,-29.3666666666667,1.77,49.0433333333333,10.2333333333333,2.92633333333333,4.15,3.68333333333333,44.06576,-71.29199,260.2,"peakGreenness","deciduousForest"
"BART_042-M-20220606-COMP",4.83333333333333,-27.1333333333333,0.493333333333333,10.2733333333333,10.8333333333333,1.006,4.64,4.13333333333333,44.060194,-71.288052,288.3,"peakGreenness","deciduousForest"
"BART_042-O-20160725-COMP",NA,NA,NA,NA,15.3,1.347,4.98333333333333,3.79,44.060194,-71.288052,288.3,"peakGreenness","deciduousForest"
"BART_042-O-20170613-COMP",NA,NA,NA,NA,13.1333333333333,2.84166666666667,4.71666666666667,3.87,44.060194,-71.288052,288.3,"peakGreenness","deciduousForest"
"BART_042-O-20210609-COMP",NA,NA,NA,NA,14.4666666666667,2.389,4.70666666666667,4.09666666666667,44.060194,-71.288052,288.3,"peakGreenness","deciduousForest"
"BART_042-O-20220606-COMP",-0.2,-29.0333333333333,1.75,42.2266666666667,10.8333333333333,3.00033333333333,4.93333333333333,4.33,44.060194,-71.288052,288.3,"peakGreenness","deciduousForest"
"BART_071-M-20220606-COMP",6.13333333333333,-27.7666666666667,0.21,5.39333333333333,11.3,0.277666666666667,4.25666666666667,3.76333333333333,44.067944,-71.290624,256.4,"peakGreenness","mixedForest"
"BART_071-O-20160727-COMP",NA,NA,NA,NA,17.5666666666667,1.13533333333333,4.21333333333333,3.31666666666667,44.067944,-71.290624,256.4,"peakGreenness","mixedForest"
"BART_071-O-20170613-COMP",NA,NA,NA,NA,14.5666666666667,0.948,4.20333333333333,3.27,44.067944,-71.290624,256.4,"peakGreenness","mixedForest"
"BART_071-O-20210608-COMP",NA,NA,NA,NA,16.8666666666667,1.632,3.6,3.05333333333333,44.067944,-71.290624,256.4,"peakGreenness","mixedForest"
"BART_071-O-20220606-COMP",1.9,-28.925,1.5925,46.8425,11.225,1.96225,3.6,2.975,44.067944,-71.290624,256.4,"peakGreenness","mixedForest"
"BLAN_001-M-20160715-COMP",4.2,-26.975,0.145,1.7025,20.375,NA,NA,NA,39.087919,-77.958389,128.3,"peakGreenness","deciduousForest"
"BLAN_001-M-20160816-COMP",NA,NA,NA,NA,22.8666666666667,0.184,6.44333333333333,5.94333333333333,39.087919,-77.958389,128.3,"peakGreenness","deciduousForest"
"BLAN_001-M-20170713-COMP",NA,NA,NA,NA,20.3333333333333,0.270666666666667,6.53333333333333,6.2,39.087919,-77.958389,128.3,"peakGreenness","deciduousForest"
"BLAN_001-M-20200714-COMP",NA,NA,NA,NA,20.9,0.148666666666667,6.55333333333333,6.20666666666667,39.087919,-77.958389,128.3,"peakGreenness","deciduousForest"
"BLAN_002-M-20160816-COMP",NA,NA,NA,NA,24.1,0.163,6.11,5.29,39.092296,-77.980761,139.7,"peakGreenness","pastureHay"
"BLAN_002-M-20170713-COMP",NA,NA,NA,NA,22.9666666666667,0.212,6.28666666666667,5.48,39.092296,-77.980761,139.7,"peakGreenness","pastureHay"
"BLAN_002-M-220150715-COMP",4.8,-26.0333333333333,0.13,1.25333333333333,22.3333333333333,NA,NA,NA,39.092296,-77.980761,139.7,"peakGreenness","pastureHay"
"BLAN_003-M-20150715-COMP",4.96666666666667,-24.6333333333333,0.116666666666667,1.07333333333333,21.5,NA,NA,NA,39.078872,-77.963659,121.8,"peakGreenness","pastureHay"
"BLAN_003-M-20160816-COMP",NA,NA,NA,NA,26.5,0.187666666666667,6.40333333333333,5.55,39.078872,-77.963659,121.8,"peakGreenness","pastureHay"
"BLAN_003-M-20170713-COMP",NA,NA,NA,NA,24.3333333333333,0.222,6.29,5.57333333333333,39.078872,-77.963659,121.8,"peakGreenness","pastureHay"
"BLAN_003-M-20200716-COMP",NA,NA,NA,NA,23.2,0.106333333333333,6.41,5.7,39.078872,-77.963659,121.8,"peakGreenness","pastureHay"
"BLAN_004-M-20150715-COMP",5.13333333333333,-24.7,0.106666666666667,1.08,22.6666666666667,NA,NA,NA,39.087516,-77.962567,128.4,"peakGreenness","pastureHay"
"BLAN_004-M-20160816-COMP",NA,NA,NA,NA,23.6333333333333,0.158333333333333,5.85666666666667,4.79666666666667,39.087516,-77.962567,128.4,"peakGreenness","pastureHay"
"BLAN_004-M-20170713-COMP",NA,NA,NA,NA,22.9,0.180333333333333,5.51333333333333,4.57666666666667,39.087516,-77.962567,128.4,"peakGreenness","pastureHay"
"BLAN_004-M-20200715-COMP",NA,NA,NA,NA,21.85,0.11525,6.06,5.1525,39.087516,-77.962567,128.4,"peakGreenness","pastureHay"
"BLAN_005-M-20150715-COMP",3.96666666666667,-26.4333333333333,0.13,1.39666666666667,19,NA,NA,NA,39.087456,-77.971942,137.4,"peakGreenness","deciduousForest"
"BLAN_005-M-20160816-COMP",NA,NA,NA,NA,23.2666666666667,0.213333333333333,5.58,4.50333333333333,39.087456,-77.971942,137.4,"peakGreenness","deciduousForest"
"BLAN_005-M-20170713-COMP",NA,NA,NA,NA,20.7666666666667,0.246666666666667,5.48,4.64333333333333,39.087456,-77.971942,137.4,"peakGreenness","deciduousForest"
"BLAN_005-M-20200713-COMP",NA,NA,NA,NA,20.5333333333333,0.121666666666667,5.71,4.91333333333333,39.087456,-77.971942,137.4,"peakGreenness","deciduousForest"
"BLAN_006-M-20200715-COMP",NA,NA,NA,NA,25.2666666666667,0.108,6.05666666666667,4.96666666666667,39.083999,-77.963812,154.4,"peakGreenness","pastureHay"
"BLAN_007-M-20150715-COMP",3.73333333333333,-26.9,0.183333333333333,2.11666666666667,19.5,NA,NA,NA,39.085485,-77.969265,156.3,"peakGreenness","deciduousForest"
"BLAN_007-M-20160816-COMP",NA,NA,NA,NA,23.0666666666667,0.203,6.43,5.66,39.085485,-77.969265,156.3,"peakGreenness","deciduousForest"
"BLAN_007-M-20170713-COMP",NA,NA,NA,NA,20.3666666666667,0.317666666666667,6.42333333333333,5.76,39.085485,-77.969265,156.3,"peakGreenness","deciduousForest"
"BLAN_007-M-20200713-COMP",NA,NA,NA,NA,20.3,0.219666666666667,6.79666666666667,6.04666666666667,39.085485,-77.969265,156.3,"peakGreenness","deciduousForest"
"BLAN_031-M-20150714-COMP",6.2,-23.8,0.113333333333333,1.07,22.1666666666667,NA,NA,NA,39.058809,-78.070547,183.1,"peakGreenness","cultivatedCrops"
"BLAN_031-M-20160817-COMP",NA,NA,NA,NA,24.6333333333333,0.152,6.04666666666667,5.47333333333333,39.058809,-78.070547,183.1,"peakGreenness","cultivatedCrops"
"BLAN_031-M-20170714-COMP",NA,NA,NA,NA,23.7333333333333,0.158,6.37666666666667,5.57666666666667,39.058809,-78.070547,183.1,"peakGreenness","cultivatedCrops"
"BLAN_031-M-20200713-COMP",NA,NA,NA,NA,25.7,0.074,5.96666666666667,5.08333333333333,39.058809,-78.070547,183.1,"peakGreenness","cultivatedCrops"
"BLAN_032-M-20150714-COMP",5.325,-25.325,0.12,1.175,22.75,NA,NA,NA,39.058572,-78.073305,184.7,"peakGreenness","shrubScrub"
"BLAN_032-M-20160817-COMP",NA,NA,NA,NA,21.8333333333333,0.131333333333333,6.46333333333333,5.66666666666667,39.058572,-78.073305,184.7,"peakGreenness","shrubScrub"
"BLAN_032-M-20170714-COMP",NA,NA,NA,NA,20.7,0.188,6.25666666666667,5.49666666666667,39.058572,-78.073305,184.7,"peakGreenness","shrubScrub"
"BLAN_032-M-20200714-COMP",NA,NA,NA,NA,20.7333333333333,0.103333333333333,6.26666666666667,5.35333333333333,39.058572,-78.073305,184.7,"peakGreenness","shrubScrub"
"BLAN_033-M-20150714-COMP",5.5,-23.3,0.0833333333333333,0.733333333333333,22,NA,NA,NA,39.058229,-78.069151,184.6,"peakGreenness","cultivatedCrops"
"BLAN_033-M-20160817-COMP",NA,NA,NA,NA,25.5333333333333,0.160333333333333,6.48,5.64,39.058229,-78.069151,184.6,"peakGreenness","cultivatedCrops"
"BLAN_033-M-20170714-COMP",NA,NA,NA,NA,23.4,0.172666666666667,6.45,5.69333333333333,39.058229,-78.069151,184.6,"peakGreenness","cultivatedCrops"
"BLAN_033-M-20200713-COMP",NA,NA,NA,NA,31.6,0.0843333333333333,6.14666666666667,5.35666666666667,39.058229,-78.069151,184.6,"peakGreenness","cultivatedCrops"
"BLAN_038-M-20170714-COMP",NA,NA,NA,NA,23.3666666666667,0.201333333333333,6.14666666666667,5.44666666666667,39.057723,-78.070917,181.9,"peakGreenness","cultivatedCrops"
"BLAN_038-M-20200714-COMP",NA,NA,NA,NA,24.075,0.078,6.4075,5.36,39.057723,-78.070917,181.9,"peakGreenness","cultivatedCrops"
"BLAN_041-M-20150714-COMP",4.5,-26.8666666666667,0.126666666666667,1.21,20.3333333333333,NA,NA,NA,39.061567,-78.073175,184,"peakGreenness","shrubScrub"
"BLAN_041-M-20160817-COMP",NA,NA,NA,NA,22.4666666666667,0.126,5.99666666666667,5.08666666666667,39.061567,-78.073175,184,"peakGreenness","shrubScrub"
"BONA_001-M-20190830-COMP",4.45,-26.9,0.3975,7.2,9.05,0.47975,4.32,3.575,65.174447,-147.478155,374.1,"peakGreenness","deciduousForest"
"BONA_001-O-20170822-COMP",NA,NA,NA,NA,9.6,1.01466666666667,NA,NA,65.174447,-147.478155,374.1,"peakGreenness","deciduousForest"
"BONA_001-O-20180920-COMP",NA,NA,NA,NA,7.53333333333333,1.84166666666667,4.15666666666667,3.48333333333333,65.174447,-147.478155,374.1,"peakGreenness","deciduousForest"
"BONA_001-O-20190830-COMP",2.8,-28.2,1.39666666666667,37.2833333333333,9.06666666666667,1.33266666666667,4.44333333333333,3.63666666666667,65.174447,-147.478155,374.1,"peakGreenness","deciduousForest"
"BONA_001-O-20200917-COMP",NA,NA,NA,NA,7.56666666666667,2.03266666666667,4.33666666666667,4.62333333333333,65.174447,-147.478155,374.1,"peakGreenness","deciduousForest"
"BONA_001-O-20210708-COMP",NA,NA,NA,NA,7.8,1.36466666666667,4.13666666666667,4.07,65.174447,-147.478155,374.1,"peakGreenness","deciduousForest"
"BONA_001-O-20220701-COMP",NA,NA,NA,NA,7.56666666666667,0.671,4.10666666666667,3.32333333333333,65.174447,-147.478155,374.1,"peakGreenness","deciduousForest"
"BONA_001-O-20230710-COMP",NA,NA,NA,NA,8.1,1.546,3.99666666666667,3.46666666666667,65.174447,-147.478155,374.1,"peakGreenness","deciduousForest"
"BONA_002-M-20190828-COMP",2.76666666666667,-26.9,0.22,3.48,6.36666666666667,0.307666666666667,4.90666666666667,4.19333333333333,65.163534,-147.527149,484.2,"peakGreenness","deciduousForest"
"BONA_002-O-20170823-COMP",NA,NA,NA,NA,8.2,0.720333333333333,NA,NA,65.163534,-147.527149,484.2,"peakGreenness","deciduousForest"
